"year","zone","destination","method","mean"
"2007","S01001790","General Store","Car","13.8"
"2012","S01001790","Post Office","Car","3.6"
"2006","S01001790","Primary School","Car","2.5"
"2007","S01001790","Primary School","Car","2.6"
"2009","S01001790","Primary School","Car","1.1"
"2012","S01001790","Primary School","Car","5.8"
"2003","S01001790","Primary School","Car",3
"2012","S01001790","Secondary School","Car","4.3"
"2007","S01001790","Secondary School","Car","4.7"
"2006","S01001790","Secondary School","Car","4.7"
"2009","S01001790","Secondary School","Car","1.9"
"2007","S01001790","Bank Or Building Society","Car","3.4"
"2012","S01001790","Shopping Facilities","Car","3.6"
"2003","S01001790","GP","Car",9
"2007","S01001790","Citizens Advice Bureau","Car",23
"2007","S01001790","Shopping Facilities","Car","2.6"
"2006","S01001790","Shopping Facilities","Car","2.6"
"2009","S01001790","Shopping Facilities","Car","1.4"
"2003","S01001790","Supermarket","Car","4.4"
"2006","S01001790","GP","Car","8.3"
"2012","S01001790","GP","Car","7.9"
"2007","S01001790","GP","Car","8.3"
"2009","S01001790","Citizens Advice Bureau","Car","8.9"
"2007","S01001790","Cash Machine","Car","2.6"
"2009","S01001790","GP","Car","3.7"
"2007","S01001790","Higher Education Establishment","Car","13.1"
"2009","S01001790","Chemists And Pharmacies","Car","1.4"
"2009","S01001790","Higher Education Establishment","Car","6.7"
"2009","S01001790","Jobcentre Plus","Car","6.6"
"2009","S01001790","Cash Machine","Car","1.2"
"2007","S01001790","Jobcentre Plus","Car",15
"2009","S01001790","Library","Car","1.6"
"2007","S01001790","Library","Car","3.6"
"2007","S01001790","Chemists And Pharmacies","Car","3.3"
"2007","S01001790","Nursery","Car","2.4"
"2007","S01001790","Further Education Establishment","Car","17.7"
"2009","S01001790","Nursery","Car","0.8"
"2003","S01001790","Petrol Station","Car","11.1"
"2007","S01001790","Petrol Station","Car","2.7"
"2009","S01001790","Petrol Station","Car","1.2"
"2012","S01001790","Petrol Station","Car","4.1"
"2006","S01001790","Petrol Station","Car","2.7"
